	CTL_1	CTL_2	CTL_3	CTL_4	epm2a_1	epm2a_2	epm2a_3	epm2b_1	epm2b_2	epm2b_3	epm2b_4
ENSMUSG00000025925	184	188	138	158	153	186	184	108	155	143	168
ENSMUSG00000104379	20	16	22	29	29	32	10	14	18	15	21
ENSMUSG00000032719	6	12	16	13	14	14	9	8	10	10	9
ENSMUSG00000088943	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100652	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067795	8	6	7	9	7	7	4	7	4	8	6
ENSMUSG00000043716	3318	2936	2980	3095	2988	3368	3526	2817	3852	3690	3966
ENSMUSG00000025921	175	159	171	145	138	198	205	142	163	149	205
ENSMUSG00000104165	3	2	0	2	0	0	3	1	2	3	1
ENSMUSG00000100868	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000025920	1828	1925	1880	1827	1772	1935	1991	1454	1709	1755	1807
ENSMUSG00000089982	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025939	1027	921	868	971	952	987	1044	759	1004	904	963
ENSMUSG00000102457	3	4	5	2	3	3	1	5	4	5	4
ENSMUSG00000079658	1903	1879	1690	1887	1576	1822	1803	1503	1882	1723	1731
ENSMUSG00000097744	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000100959	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025940	587	542	508	466	491	565	641	449	587	569	598
ENSMUSG00000025779	16	7	14	12	16	17	12	9	17	10	9
ENSMUSG00000100093	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091020	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000101640	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104133	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042686	270	354	282	265	265	277	285	241	269	314	289
ENSMUSG00000100110	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025777	2307	2453	2215	2143	1919	2325	2047	1595	2092	2150	2010
ENSMUSG00000099899	5	4	3	5	3	2	6	5	3	3	5
ENSMUSG00000100272	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100398	0	0	0	0	0	0	1	1	0	2	0
ENSMUSG00000101589	2	2	3	0	3	2	1	2	1	2	2
ENSMUSG00000102048	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000089534	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067780	12	16	13	17	5	10	15	5	11	9	9
ENSMUSG00000100053	16	4	11	5	5	7	7	6	7	15	12
ENSMUSG00000085125	12	11	3	3	2	4	5	6	5	11	8
ENSMUSG00000025776	72	103	64	73	64	69	76	58	64	53	63
ENSMUSG00000099895	1	2	2	0	3	1	0	0	2	1	0
ENSMUSG00000100554	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099473	0	0	0	1	0	2	0	0	0	0	0
ENSMUSG00000099591	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109887	18	20	14	19	12	12	20	17	19	22	14
ENSMUSG00000102001	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101717	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025774	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070977	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073735	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000067773	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101685	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101306	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088800	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101644	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099433	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089787	3	3	3	6	0	0	2	0	2	2	4
ENSMUSG00000042596	27	38	20	29	21	25	18	17	17	20	14
ENSMUSG00000100720	0	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000025927	137	152	119	122	138	165	166	124	120	116	133
ENSMUSG00000100538	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101117	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100204	0	1	0	0	1	0	0	0	0	0	0
ENSMUSG00000084668	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102597	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043760	1	1	0	1	0	2	0	1	2	3	1
ENSMUSG00000104095	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089914	0	0	1	0	0	0	0	0	0	0	2
ENSMUSG00000090142	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070175	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099906	5	5	3	4	0	3	5	3	4	4	4
ENSMUSG00000065559	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065480	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025929	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041872	0	0	4	0	1	1	0	0	0	1	0
ENSMUSG00000041859	53	26	36	26	43	72	67	43	60	31	64
ENSMUSG00000099714	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102121	0	1	0	1	0	0	0	0	0	0	0
ENSMUSG00000088858	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097934	9	7	13	7	7	8	6	7	8	11	16
ENSMUSG00000025931	2268	2152	2039	2064	2483	2533	2861	1665	2044	2174	2081
ENSMUSG00000077314	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100929	3	5	3	5	5	5	4	2	1	3	4
ENSMUSG00000041809	30	30	26	24	19	31	30	23	27	27	25
ENSMUSG00000041779	22	22	25	18	27	34	18	22	28	27	29
ENSMUSG00000099971	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000100819	4	4	4	4	4	5	2	4	2	8	4
ENSMUSG00000025933	410	377	410	381	370	414	447	360	465	439	421
ENSMUSG00000102633	1	1	0	0	0	1	2	0	4	0	0
ENSMUSG00000025934	28	30	32	20	20	22	28	23	21	23	27
ENSMUSG00000099343	0	0	1	2	1	0	0	5	1	2	6
ENSMUSG00000096375	1	3	3	3	1	0	0	1	2	1	0
ENSMUSG00000025936	0	1	1	0	0	0	0	0	1	0	0
ENSMUSG00000093963	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067750	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086194	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094436	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041722	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085507	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094926	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085079	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085679	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028033	841	903	927	824	842	839	852	717	855	900	853
ENSMUSG00000104138	0	1	0	2	0	0	0	0	0	0	0
ENSMUSG00000082935	1	1	1	1	0	0	0	1	1	0	0
ENSMUSG00000103748	2	2	0	1	0	1	1	2	0	1	0
ENSMUSG00000099692	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100418	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041670	699	870	758	667	747	789	898	613	814	828	684
ENSMUSG00000097642	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101468	0	0	0	0	0	1	0	1	1	0	0
ENSMUSG00000101227	0	2	2	0	1	0	1	1	2	0	0
ENSMUSG00000073730	1	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000089553	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102766	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065405	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097970	6	3	3	3	6	8	2	3	4	8	2
ENSMUSG00000065567	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100775	1	1	1	0	1	2	0	0	0	0	0
ENSMUSG00000101226	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026158	2256	2363	2089	2054	1936	2161	2041	1521	1770	1900	1787
ENSMUSG00000097920	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000099503	0	0	1	0	1	2	2	1	4	3	0
ENSMUSG00000026156	272	318	260	237	210	241	286	214	229	246	238
ENSMUSG00000026155	1190	1113	1051	1057	1080	1252	1221	930	985	1092	1000
ENSMUSG00000026154	194	186	207	183	192	186	227	176	208	215	234
ENSMUSG00000102495	0	0	1	0	1	1	1	0	0	0	1
ENSMUSG00000026153	894	1036	873	869	728	852	677	686	741	832	866
ENSMUSG00000102398	2	4	4	5	3	3	2	2	2	1	2
ENSMUSG00000097670	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026147	9	11	10	8	9	15	13	16	14	13	14
ENSMUSG00000026141	223	261	241	212	190	197	185	188	179	229	201
ENSMUSG00000077463	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099997	0	0	0	2	0	0	1	0	1	0	0
ENSMUSG00000100131	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067736	6	5	4	4	0	0	0	6	4	11	5
ENSMUSG00000101939	9	11	4	5	1	1	0	4	11	0	3
ENSMUSG00000101111	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100862	0	0	0	0	1	0	1	1	0	0	0
ENSMUSG00000102070	0	1	0	2	0	0	0	2	0	0	0
ENSMUSG00000101249	0	3	1	1	0	0	1	2	1	0	0
ENSMUSG00000073725	3061	3120	2994	2893	2887	3179	3171	2396	2806	3036	2763
ENSMUSG00000100808	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100483	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100450	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099392	1	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000033569	1625	1720	1508	1621	1289	1502	1527	1234	1392	1463	1395
ENSMUSG00000080849	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104257	1	3	2	0	2	0	0	0	1	2	0
ENSMUSG00000096866	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000102296	1	1	2	0	0	0	0	0	0	2	0
ENSMUSG00000103209	2	3	0	1	3	5	1	0	1	2	0
ENSMUSG00000104027	3	2	0	2	3	2	3	0	1	1	3
ENSMUSG00000102407	0	4	1	3	2	1	2	3	2	1	3
ENSMUSG00000103214	0	3	4	0	1	4	4	1	4	5	5
ENSMUSG00000104100	3	3	1	3	6	7	1	1	3	6	3
ENSMUSG00000084740	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103889	0	1	0	2	3	2	1	1	1	0	3
ENSMUSG00000101301	0	0	0	0	0	0	1	1	0	1	0
ENSMUSG00000104221	2	1	3	1	2	4	3	3	1	4	0
ENSMUSG00000102250	3	3	3	1	6	8	3	5	2	2	1
ENSMUSG00000102317	5	4	4	3	7	6	0	3	3	3	3
ENSMUSG00000103563	2	2	1	1	2	2	4	3	2	1	4
ENSMUSG00000102465	3	2	4	2	2	5	6	3	7	3	4
ENSMUSG00000102659	1	1	2	2	6	1	3	3	8	2	4
ENSMUSG00000103924	2	4	3	3	4	5	3	2	1	2	2
ENSMUSG00000104132	1	0	2	3	1	1	3	4	0	1	3
ENSMUSG00000102747	1	3	3	0	4	0	2	3	2	3	1
ENSMUSG00000102386	4	2	1	5	1	4	2	3	9	2	3
ENSMUSG00000103004	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000104516	8	11	5	15	8	10	7	7	10	6	3
ENSMUSG00000101618	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099458	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088111	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073722	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095256	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100310	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101514	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101033	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101372	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103241	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086240	2	1	1	0	2	3	1	1	0	2	3
ENSMUSG00000048411	0	0	1	4	3	0	1	2	3	1	2
ENSMUSG00000081557	0	0	1	0	0	0	1	0	0	0	0
ENSMUSG00000058590	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101235	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064433	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080625	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080391	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099257	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099492	1	0	0	0	2	0	0	0	1	0	0
ENSMUSG00000118548	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101726	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096829	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098883	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000053185	1	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000100261	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101180	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048874	1391	1408	1323	1261	1418	1576	1565	1041	1210	1397	1276
ENSMUSG00000103783	1	0	3	1	1	1	0	2	3	1	3
ENSMUSG00000104315	1	0	0	1	2	0	2	2	0	1	2
ENSMUSG00000026064	15	18	14	12	13	21	9	9	10	12	8
ENSMUSG00000117310	0	1	0	0	0	0	0	0	0	0	1
ENSMUSG00000117091	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086726	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086727	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000100237	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098529	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100910	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099796	0	0	0	0	0	0	0	0	0	0	0
