	ctrl1_Chap	ctrl1_noChap	ctrl2_Chap	ctrl2_noChap	ctrl3_Chap	ctrl3_noChap	pat1_Chap	pat1_noChap	pat2_Chap	pat2_noChap	pat3_Chap	pat3_noChap
ENSG00000272106	66	67	87	76	35	23	82	96	25	57	37	50
ENSG00000197530	398	451	564	416	277	221	576	541	336	410	638	430
ENSG00000248333	191	216	302	159	148	114	253	250	196	166	330	201
ENSG00000272004	53	40	52	28	22	9	61	36	26	46	26	24
ENSG00000189339	708	522	575	480	398	223	749	649	437	443	421	473
ENSG00000008128	15	27	38	26	19	11	36	39	8	6	37	40
ENSG00000268575	31	31	35	32	14	20	39	37	5	10	21	18
ENSG00000227775	27	24	28	20	11	7	36	40	7	9	49	67
ENSG00000215790	10	17	18	6	5	5	37	23	6	4	17	21
ENSG00000008130	522	498	710	449	431	305	548	598	467	470	772	593
ENSG00000078369	4870	3868	6442	4776	6821	4096	5183	5121	3727	3592	5563	4863
ENSG00000169885	5	22	23	18	6	6	40	31	13	7	28	31
ENSG00000067606	62	84	120	76	58	45	56	58	67	61	110	72
ENSG00000182873	18	27	15	17	13	11	16	16	10	18	23	28
ENSG00000162585	286	241	488	318	288	162	384	354	290	302	513	396
ENSG00000269554	24	23	58	24	24	17	51	53	30	28	58	42
ENSG00000157933	1580	1618	2013	1734	972	735	2024	2516	1107	1202	1920	1926
ENSG00000116151	17	26	40	23	19	11	57	35	36	38	44	45
ENSG00000269896	10	9	15	16	0	2	32	23	20	18	28	25
ENSG00000178642	10	10	16	15	15	1	24	27	22	11	12	21
ENSG00000157916	1303	1247	1794	1266	1113	755	1701	1504	1234	1216	1857	1628
ENSG00000157911	267	322	428	262	252	184	442	353	251	282	595	328
ENSG00000157881	187	273	275	230	185	153	241	364	189	134	240	227
ENSG00000197921	15	29	11	59	8	37	14	62	58	21	53	13
ENSG00000238164	47	17	23	38	11	4	59	65	49	50	37	71
ENSG00000157873	182	243	219	153	66	50	230	216	193	223	338	296
ENSG00000157870	267	213	210	123	190	134	228	146	124	116	196	159
ENSG00000142606	39	38	41	16	31	25	28	29	18	15	24	22
ENSG00000142611	11	8	13	12	41	30	33	31	60	78	223	245
ENSG00000162591	2281	3039	2163	1829	2301	1558	1070	1109	984	1123	2618	2338
ENSG00000158109	611	648	937	612	776	605	722	736	773	653	1011	922
ENSG00000116213	159	142	202	129	114	99	183	151	157	173	222	220
ENSG00000227372	272	255	343	315	273	197	500	456	290	304	515	455
ENSG00000130764	466	441	624	411	452	318	551	547	386	350	586	517
ENSG00000272153	40	41	52	52	42	39	42	61	29	32	75	48
ENSG00000116198	340	301	425	308	411	294	390	381	277	299	438	376
ENSG00000169598	57	30	45	39	35	19	48	44	39	46	48	45
ENSG00000198912	163	199	257	237	184	129	240	256	227	182	267	238
ENSG00000196581	37	40	2	2	20	16	8	2	0	0	0	0
ENSG00000131697	169	179	264	185	195	95	355	340	228	194	232	225
ENSG00000069424	97	113	105	63	56	35	133	145	95	118	119	128
ENSG00000116251	1045	1788	2499	1087	835	1005	1288	1308	1040	1031	2614	1393
ENSG00000158286	84	126	116	43	48	51	94	69	70	87	219	170
ENSG00000116237	1381	1239	1734	1328	1229	857	1674	1356	1666	1174	1911	1571
ENSG00000158292	341	326	294	235	42	12	507	373	242	225	405	302
ENSG00000097021	349	182	355	220	333	235	313	191	321	181	406	192
ENSG00000215788	19	47	13	11	23	17	53	37	22	16	16	19
ENSG00000171680	123	142	91	50	119	101	164	158	80	63	49	49
ENSG00000162408	198	233	324	238	193	114	312	309	219	195	293	250
ENSG00000204859	94	89	116	85	103	73	169	150	136	106	175	156
ENSG00000162413	511	862	724	720	590	463	963	1331	630	700	1068	913
ENSG00000116273	666	560	598	423	391	291	743	782	359	370	607	529
ENSG00000041988	307	298	383	246	235	206	315	312	271	292	428	368
ENSG00000007923	692	489	766	522	511	359	676	515	459	486	695	608
ENSG00000171735	215	171	267	177	236	184	222	196	182	197	236	207
ENSG00000049245	1691	1437	2263	1500	1547	1045	1676	1746	1337	1225	1967	1667
ENSG00000049246	388	328	543	357	251	225	603	390	386	348	536	399
ENSG00000236266	21	26	32	18	14	19	34	31	23	23	29	20
ENSG00000049247	75	53	87	49	44	30	92	57	69	71	102	68
ENSG00000116288	1668	1440	2281	1479	1508	994	1742	1357	1551	1564	2336	1898
ENSG00000116285	903	890	880	849	1648	1331	545	695	1474	1736	1682	1652
ENSG00000162426	35	36	28	11	40	28	23	15	34	34	40	40
ENSG00000142599	992	918	1179	978	846	705	1118	1330	861	904	1301	1429
ENSG00000074800	14138	10536	29468	20266	30758	17478	16777	18620	11938	16499	17367	20751
ENSG00000142583	6	10	41	58	4	1	2	4	0	11	14	46
ENSG00000180758	37	28	75	75	24	16	27	37	18	23	59	47
ENSG00000234546	26	20	36	38	15	11	35	29	38	31	35	35
ENSG00000049239	1557	1452	2075	1508	952	518	2591	2663	951	1181	1924	2044
ENSG00000171621	318	492	461	514	161	140	410	518	319	373	410	368
ENSG00000171612	51	84	76	78	60	55	81	98	48	50	64	73
ENSG00000188807	121	170	177	160	108	99	207	168	129	108	190	136
ENSG00000171608	446	460	605	316	431	367	309	325	172	192	349	195
ENSG00000231789	36	28	27	16	9	8	9	7	1	3	9	5
ENSG00000171603	2824	2970	4069	3326	3049	1929	4029	3829	2399	2792	3423	3617
ENSG00000178585	207	188	228	167	165	110	272	238	158	185	250	231
ENSG00000223989	32	35	71	28	28	35	49	45	23	14	44	29
ENSG00000162441	177	147	280	168	197	119	256	198	170	164	255	230
ENSG00000173614	77	82	131	82	77	47	116	105	106	98	147	153
ENSG00000130939	885	934	998	691	864	555	946	944	797	684	1044	960
ENSG00000054523	848	984	897	860	848	601	1095	1167	478	492	668	628
ENSG00000142657	1281	1259	1424	941	840	503	1335	1335	1015	1287	1513	1631
ENSG00000175279	37	25	60	34	38	16	81	45	37	46	56	59
ENSG00000160049	417	418	548	389	336	273	502	520	439	468	577	494
ENSG00000203469	32	26	26	30	17	11	26	32	32	24	36	23
ENSG00000142655	283	206	292	205	207	153	227	252	211	181	262	233
ENSG00000130940	5	3	6	6	49	25	3	5	1	0	3	1
ENSG00000272078	3	2	4	2	19	18	0	2	1	0	1	0
ENSG00000120948	894	925	1142	796	753	614	1198	1102	655	589	1016	838
ENSG00000009724	24	48	54	55	14	13	89	100	17	35	29	40
ENSG00000271895	26	49	40	40	19	15	92	109	35	27	32	27
ENSG00000116649	685	506	893	566	727	509	887	661	816	737	1231	928
ENSG00000171824	757	754	841	605	687	491	979	866	622	554	930	765
ENSG00000226849	123	143	135	101	103	95	160	142	110	96	165	122
ENSG00000230337	31	5	8	31	32	5	44	28	27	34	8	30
ENSG00000198793	672	614	824	608	761	462	917	727	498	512	771	661
ENSG00000120942	207	205	236	171	163	114	232	171	131	128	202	209
ENSG00000116661	25	22	4	9	6	7	14	10	12	7	13	20
ENSG00000132879	263	314	276	222	171	109	302	320	192	192	256	252
ENSG00000116663	45	62	84	55	35	32	50	57	41	68	77	109
ENSG00000116670	307	270	330	219	240	190	315	270	242	199	328	275
ENSG00000177674	416	400	475	373	175	153	280	300	368	495	425	637
ENSG00000215910	77	67	70	60	39	27	89	92	76	94	90	125
ENSG00000177000	321	314	345	240	157	125	449	478	340	428	416	477
ENSG00000011021	249	291	331	235	209	158	346	366	162	197	259	281
ENSG00000120937	1	0	0	0	189	78	0	0	0	0	1	0
ENSG00000116685	444	433	556	437	509	323	472	462	371	353	504	466
ENSG00000083444	4611	4171	9543	7572	8314	4979	7953	7841	4649	6334	5405	5743
ENSG00000116688	1177	1106	1464	956	964	636	1412	1202	958	862	1313	1140
ENSG00000116691	118	159	156	128	118	88	243	194	124	131	189	167
ENSG00000028137	92	72	189	149	10	4	87	75	147	100	105	92
ENSG00000048707	884	838	863	745	575	364	1034	1088	527	552	728	860
ENSG00000162496	1542	1964	1461	1366	87	138	991	1952	1038	1400	1917	2418
ENSG00000162493	169	176	67	63	75	30	245	267	80	149	73	100
ENSG00000116731	830	941	828	853	495	330	1321	1620	462	505	828	757
ENSG00000189337	162	173	295	285	222	169	292	239	209	190	307	311
ENSG00000171729	42	61	30	25	2	2	2	1	3	5	1	1
ENSG00000142621	4	4	6	7	4	6	24	20	28	39	115	83
ENSG00000233485	0	2	2	3	2	2	5	9	12	8	32	27
ENSG00000142634	412	393	508	307	198	145	395	365	428	279	467	321
ENSG00000132906	140	143	156	92	102	94	153	156	102	102	132	134
ENSG00000116138	239	236	333	274	209	126	342	335	259	252	295	310
ENSG00000197312	227	238	392	302	164	133	344	292	262	287	358	439
ENSG00000116786	1433	1605	1788	1353	1260	993	1588	1733	1173	1188	1627	1674
ENSG00000237938	97	99	162	103	70	94	88	116	81	98	152	113
ENSG00000162461	13	47	25	58	5	23	51	69	21	40	57	45
ENSG00000162458	1917	1610	1838	1459	3562	2479	841	993	367	418	671	749
ENSG00000179743	28	29	34	55	28	16	38	32	15	18	23	31
ENSG00000065526	1033	1570	1375	1308	873	563	1658	1986	682	658	1036	1042
ENSG00000116809	270	355	374	275	235	169	410	457	216	249	314	325
ENSG00000173641	603	601	1688	1056	1878	1468	3100	2012	2774	622	3948	1450
ENSG00000142627	238	227	256	237	236	185	379	296	248	189	377	308
ENSG00000142632	134	124	95	88	48	38	96	123	115	146	215	261
ENSG00000132881	23	16	32	22	21	25	23	42	26	25	35	39
ENSG00000037637	346	291	509	402	322	249	344	434	269	367	443	541
ENSG00000055070	2004	1619	2290	1623	1907	1250	2126	1957	1398	1309	2125	1990
ENSG00000187144	579	493	662	483	581	371	630	591	410	329	560	556
ENSG00000157191	720	526	1013	707	636	395	723	711	697	710	1015	836
ENSG00000226029	9	11	15	11	7	6	19	15	13	11	22	21
ENSG00000080947	24	22	27	20	24	17	75	54	22	20	53	38
ENSG00000219481	719	594	437	442	242	127	486	465	399	385	579	503
ENSG00000215908	244	222	159	93	110	51	187	158	136	134	263	233
ENSG00000186301	4	16	21	9	10	9	9	5	30	13	24	16
ENSG00000058453	240	303	279	240	173	111	425	448	195	215	371	317
ENSG00000117122	560	839	1610	930	917	826	1395	1444	461	532	788	803
ENSG00000226526	12	6	21	28	17	17	38	15	10	5	10	15
ENSG00000159363	171	175	388	328	360	228	357	318	166	159	378	296
ENSG00000117118	378	304	545	346	381	282	358	304	337	365	517	389
ENSG00000117115	5	2	9	8	485	399	3	5	17	5	1	2
ENSG00000142623	0	0	12	3	19	18	1	1	3	0	1	0
ENSG00000227751	46	84	131	87	48	62	82	103	64	90	173	136
ENSG00000179051	569	600	977	804	537	496	929	909	761	739	1142	1037
ENSG00000074964	333	306	539	400	535	378	487	513	317	274	548	464
ENSG00000159423	87	74	92	62	270	215	97	84	102	70	119	92
ENSG00000169991	185	220	276	322	405	277	232	389	105	122	185	185
ENSG00000127481	2815	3444	3363	2616	2266	1562	3333	3330	1620	1681	2394	2516
ENSG00000230424	53	36	107	89	74	31	153	111	63	74	56	76
ENSG00000127463	1293	1175	2031	1576	1263	777	2583	2171	1145	1226	1612	1495
ENSG00000053372	313	279	447	262	297	210	408	373	321	296	544	379
ENSG00000053371	358	257	459	336	305	220	414	295	362	321	488	417
ENSG00000040487	123	133	178	107	89	125	162	139	116	93	170	146
ENSG00000077549	3603	2705	4509	2787	3560	2289	2955	2436	2262	2046	2769	2486
ENSG00000173436	104	32	63	96	88	26	111	113	100	87	59	124
ENSG00000226396	26	4	7	23	21	8	27	12	25	24	6	31
ENSG00000158747	475	301	420	439	298	111	384	289	347	239	180	252
ENSG00000162542	218	214	168	118	82	93	161	160	126	149	194	181
ENSG00000169914	133	177	206	120	106	83	210	231	116	116	184	147
ENSG00000188257	0	0	0	0	0	4	0	2	425	1103	15	189
ENSG00000127472	0	1	1	0	0	0	3	2	34	52	35	42
ENSG00000162545	1780	1843	471	381	733	649	590	670	326	257	463	321
ENSG00000090432	515	478	581	468	448	289	485	447	296	322	530	470
ENSG00000158825	32	18	13	11	8	9	3	7	10	13	3	6
ENSG00000158828	1083	949	1429	986	1174	858	872	821	792	730	947	832
ENSG00000117242	577	553	909	551	615	450	495	480	433	369	611	456
ENSG00000244038	2640	2355	3715	2562	2249	1477	3638	2845	2768	2666	3582	2947
ENSG00000117245	23	21	11	2	17	28	3	2	3	4	6	3
ENSG00000189410	32	27	33	23	44	50	16	24	7	9	8	8
ENSG00000127483	2537	2339	3082	1919	2010	1340	2912	2566	1874	1699	2730	2312
ENSG00000203394	385	319	489	275	254	222	359	377	308	271	477	351
ENSG00000075151	1647	1552	1778	1403	1248	863	1844	1807	1368	1430	1825	1721
ENSG00000117298	3997	3709	3003	2165	2475	1600	2779	2506	1812	1494	2576	2057
ENSG00000227001	17	20	2	3	4	1	5	5	3	5	27	12
ENSG00000142794	419	341	219	136	69	39	157	146	165	115	165	104
ENSG00000162551	253	573	225	193	202	191	88	136	207	250	297	193
ENSG00000076864	14	15	26	29	4	7	15	15	19	19	30	9
ENSG00000090686	928	959	916	660	654	450	891	846	663	612	1012	853
ENSG00000187942	2516	3556	5945	4394	3808	2958	4323	5144	3763	4589	7655	6568
ENSG00000142798	16016	16146	27981	25751	23479	13917	30240	30194	14918	18545	27412	29606
ENSG00000218510	78	95	100	69	97	57	109	75	180	173	181	154
ENSG00000070831	1533	1054	1791	1435	1794	906	1762	1621	1208	1230	1720	1604
ENSG00000162552	3	6	10	19	275	291	63	87	6	4	16	25
ENSG00000184677	282	294	372	269	215	157	557	447	268	274	381	371
ENSG00000133216	119	107	61	42	63	44	249	252	22	20	65	44
ENSG00000272796	3	4	1	4	1	1	28	23	0	1	4	3
ENSG00000004487	887	879	1029	741	719	494	976	960	692	619	963	842
ENSG00000169641	1080	1370	1252	1493	993	897	1006	1524	487	524	705	763
ENSG00000261326	2	3	10	2	2	5	31	21	13	9	10	20
ENSG00000125944	1729	1534	1822	1173	1077	763	1815	1642	1016	946	1518	1391
ENSG00000125945	222	224	177	168	85	83	356	340	272	410	336	454
ENSG00000249087	26	44	26	16	9	12	50	47	29	49	24	35
ENSG00000204219	227	177	119	90	172	113	251	231	138	164	212	221
ENSG00000088280	457	608	566	471	166	162	828	889	1153	1468	1234	1498
ENSG00000007968	15	7	11	5	3	0	23	7	26	1	15	3
ENSG00000117318	4402	4635	4604	4790	902	886	2817	5124	2529	3046	5248	5946
ENSG00000142676	6429	6733	9368	6471	4825	3631	7336	7293	6584	7146	10018	8478
ENSG00000011007	690	651	965	631	605	394	812	804	522	595	780	704
ENSG00000236810	109	89	122	89	77	60	127	118	75	96	114	136
ENSG00000057757	249	263	442	321	277	188	336	417	356	294	490	423
ENSG00000011009	201	179	272	160	183	139	210	194	167	136	239	192
ENSG00000117308	98	70	100	74	135	79	116	65	103	69	123	78
ENSG00000117305	166	107	327	197	235	180	301	222	253	243	326	319
ENSG00000179163	107	108	80	55	119	82	98	87	90	102	96	100
ENSG00000189266	73	68	56	29	40	26	40	40	44	31	53	44
ENSG00000188529	110	164	175	107	94	63	176	167	103	96	180	146
ENSG00000001460	128	88	109	90	198	98	84	78	121	104	146	158
ENSG00000001461	698	510	788	539	1370	824	438	386	434	330	399	352
ENSG00000117602	171	126	270	213	258	216	140	109	112	81	156	97
ENSG00000264443	12	15	33	28	26	31	14	16	17	10	17	15
ENSG00000133226	674	713	877	613	701	437	887	842	557	579	811	704
ENSG00000169504	7203	5054	9579	7258	8740	5383	7511	6455	7098	5916	9048	6995
ENSG00000020633	3	5	145	154	415	327	92	145	57	54	211	178
ENSG00000117614	505	548	570	404	342	286	486	523	545	531	700	633
ENSG00000117616	345	451	833	491	462	432	996	717	463	551	748	950
ENSG00000183726	1201	1246	2662	2070	1278	878	1474	1528	1558	1535	2596	2494
ENSG00000188672	12	36	100	6	5	15	11	17	9	9	91	12
ENSG00000204178	346	409	590	404	346	238	504	508	296	353	474	498
ENSG00000157978	316	335	513	383	381	230	369	345	321	274	374	339
ENSG00000117643	164	253	333	341	14	26	432	506	365	440	653	773
ENSG00000162430	2040	1766	2263	1756	1326	892	2453	2060	1338	1234	1714	1633
ENSG00000228172	206	255	277	201	160	117	280	227	155	164	241	197
ENSG00000117640	547	403	587	435	401	269	600	507	473	446	564	621
ENSG00000223474	61	7	11	60	52	4	56	61	40	35	13	50
ENSG00000127423	11	25	22	9	9	20	22	8	11	3	31	10
ENSG00000236528	38	57	117	63	58	48	59	63	37	36	93	75
ENSG00000182749	202	185	363	308	237	153	270	293	197	214	239	291
ENSG00000117632	1088	468	743	309	590	327	1104	453	665	160	580	218
ENSG00000158006	82	75	141	121	113	83	88	122	95	95	123	121
ENSG00000158008	13	10	135	84	11	6	19	12	17	13	11	3
ENSG00000175087	46	28	67	31	49	35	75	64	50	52	77	73
ENSG00000142684	106	84	105	98	95	55	91	84	77	93	131	109
ENSG00000236782	88	105	107	90	98	65	97	99	81	94	137	95
ENSG00000130695	82	57	101	63	66	57	126	56	134	87	147	92
ENSG00000142669	2651	1529	4138	2554	3834	2116	2660	1757	4726	3208	4600	2389
ENSG00000158062	391	762	1461	309	437	841	461	326	655	455	1864	430
ENSG00000117682	272	293	479	314	385	205	457	390	304	295	432	409
ENSG00000198830	396	553	877	232	283	279	541	359	340	327	940	318
ENSG00000117713	1298	1087	1082	777	1051	681	1249	1217	636	704	983	1019
ENSG00000060642	144	133	172	140	135	73	158	200	153	138	207	213
ENSG00000204160	293	289	380	269	341	209	307	307	210	204	302	258
ENSG00000142751	176	227	297	230	190	134	252	273	189	197	261	268
ENSG00000198746	132	121	177	119	125	81	185	169	103	101	142	155
ENSG00000090273	783	726	1043	602	729	462	768	717	613	634	1008	814
ENSG00000253368	860	765	393	286	402	238	496	380	296	256	367	247
ENSG00000158246	51	48	69	61	189	134	33	33	14	13	13	5
ENSG00000090020	857	1023	1710	1474	430	254	842	1101	536	633	911	874
ENSG00000142784	719	719	805	591	751	524	717	708	537	522	734	709
ENSG00000186501	425	378	586	426	340	227	535	504	407	383	620	596
ENSG00000142733	369	438	509	305	474	374	626	497	281	304	481	417
ENSG00000181773	38	97	47	20	13	35	44	67	17	6	17	13
ENSG00000158195	1598	1427	2174	1536	1901	1113	1987	1910	1361	1251	2090	1748
ENSG00000126705	391	354	377	341	333	338	617	336	233	241	359	293
ENSG00000126709	116	154	142	130	210	93	118	148	119	169	195	194
ENSG00000009780	114	98	173	106	90	98	181	138	137	97	148	130
ENSG00000117758	657	570	1255	769	1014	585	760	677	619	642	1045	960
ENSG00000117751	457	421	638	394	404	299	559	456	407	366	579	506
ENSG00000268552	69	44	56	49	51	32	70	89	56	52	51	102
ENSG00000130775	22	25	49	32	17	17	26	27	16	13	22	20
ENSG00000117748	186	145	272	168	126	107	210	164	275	171	370	288
ENSG00000158156	81	85	109	93	128	124	100	101	84	67	99	101
ENSG00000158161	155	134	148	117	102	89	200	147	139	146	185	196
ENSG00000126698	756	718	1050	682	667	504	840	694	665	609	1061	822
ENSG00000269804	113	178	223	80	81	131	90	87	81	74	235	111
ENSG00000130770	348	304	421	275	344	203	339	291	276	310	467	375
ENSG00000130766	709	982	1523	1570	512	917	1220	1697	1130	1324	2019	1743
ENSG00000130772	91	75	108	76	77	52	74	67	114	117	135	107
ENSG00000204138	333	277	340	205	379	199	363	400	203	209	314	276
ENSG00000180198	502	452	664	481	323	250	589	523	630	520	592	510
ENSG00000242125	228	307	214	264	237	181	591	353	214	203	270	397
ENSG00000180098	135	118	201	111	136	88	166	120	132	140	193	131
ENSG00000197989	55	87	102	70	88	79	166	87	78	85	144	138
ENSG00000120656	234	185	277	212	124	91	260	284	274	287	409	352
ENSG00000188060	24	31	30	18	8	7	18	24	19	17	36	28
ENSG00000162419	193	204	258	181	176	100	232	245	151	135	234	162
ENSG00000198492	774	808	969	733	608	510	859	985	565	635	841	834
ENSG00000159023	245	265	245	176	166	124	165	165	125	133	201	203
ENSG00000225616	0	18	18	0	1	14	0	0	0	0	29	0
ENSG00000253304	319	360	302	231	137	161	237	248	199	220	354	308
ENSG00000116350	924	1120	1202	899	813	540	1245	1309	797	753	1101	974
ENSG00000116353	165	138	229	134	165	120	205	190	155	177	241	247
ENSG00000060656	801	1020	457	436	193	161	375	616	235	309	483	565
ENSG00000186056	9	15	9	6	7	3	36	23	19	16	23	35
ENSG00000162512	2648	2778	2561	2159	1986	1361	2950	2838	1539	1556	2591	2545
ENSG00000134644	1115	966	1321	937	1019	652	1307	1269	859	899	1117	1211
ENSG00000060688	265	204	370	251	187	119	406	314	275	239	457	352
ENSG00000121766	249	217	320	253	288	182	331	256	304	245	472	350
ENSG00000229044	37	26	69	33	45	31	48	30	50	40	66	46
ENSG00000121769	21	9	6	8	33	49	31	13	41	26	58	37
ENSG00000168528	116	151	196	110	56	64	19	27	76	37	139	116
ENSG00000268950	56	48	43	43	25	16	10	10	23	8	49	58
ENSG00000142910	125	182	459	325	101	151	2	3	55	33	74	39
ENSG00000121764	24	6	14	14	24	9	21	27	33	27	15	42
ENSG00000162517	466	433	621	454	516	370	529	443	464	474	747	699
ENSG00000235790	118	223	160	185	50	48	211	301	139	129	345	244
ENSG00000084636	7035	9435	8681	7330	2534	1809	12572	12825	7078	6439	15526	13390
ENSG00000121753	435	492	218	137	157	117	221	173	101	66	147	76
ENSG00000254545	51	44	110	35	122	116	35	33	6	6	10	4
ENSG00000134668	704	513	928	521	2066	1216	469	410	91	115	123	84
ENSG00000184007	2484	2166	2784	2139	1958	1314	2340	2389	2354	2357	3003	2711
ENSG00000121774	1855	1661	1915	1301	1383	809	1903	1613	1200	1211	1750	1498
ENSG00000121775	226	195	220	157	104	68	228	223	151	179	208	217
ENSG00000025800	790	786	1109	740	755	525	846	893	577	613	872	827
ENSG00000084652	1452	1424	1509	1140	1006	696	1735	1761	1089	1175	1529	1578
ENSG00000160050	75	58	63	31	90	46	89	70	65	62	97	72
ENSG00000224066	21	36	44	15	18	15	36	29	13	27	42	31
ENSG00000160051	17	17	34	19	21	9	52	17	30	19	34	29
ENSG00000222046	9	12	16	9	6	13	52	20	19	16	32	32
ENSG00000160055	95	113	134	103	81	74	158	122	94	129	169	146
ENSG00000084623	1703	1444	2355	1467	1497	1069	1802	1443	1650	1561	2359	1915
ENSG00000220785	112	162	74	56	24	20	162	180	101	130	136	201
ENSG00000183615	29	32	8	8	11	19	11	9	6	12	8	12
ENSG00000116478	1243	1179	900	654	658	432	920	863	417	472	598	660
ENSG00000175130	363	419	202	218	345	295	307	539	140	204	124	227
ENSG00000162526	33	39	28	24	11	17	62	49	24	19	40	32
ENSG00000225828	39	51	58	48	18	20	103	92	51	44	43	54
ENSG00000160058	730	711	1067	723	767	411	767	865	697	664	849	843
ENSG00000160062	94	70	120	109	105	51	172	128	97	88	116	111
ENSG00000176261	166	160	185	144	146	92	170	154	147	137	180	202
ENSG00000162521	1439	1221	1904	1205	1861	1380	1716	1440	908	907	1314	1203
ENSG00000162520	1262	1020	1803	1178	2430	1537	1338	1104	506	507	730	694
ENSG00000162522	405	357	451	332	648	479	316	316	167	133	194	129
ENSG00000134684	2121	1923	3218	2234	2177	1618	2741	2714	1983	2015	3252	2937
ENSG00000116497	234	248	287	244	201	190	335	322	272	283	420	385
ENSG00000121905	61	34	60	88	46	20	91	71	93	81	70	119
ENSG00000121900	146	168	282	206	116	84	227	196	207	239	347	283
ENSG00000116514	148	241	278	421	185	210	163	326	167	128	250	163
ENSG00000004455	679	534	783	623	773	421	764	736	487	556	776	868
ENSG00000142920	35	28	39	47	28	23	54	46	19	41	48	39
ENSG00000116525	98	99	120	64	66	39	81	98	42	81	73	71
ENSG00000160094	200	182	232	155	143	132	222	214	110	141	245	208
ENSG00000134686	1372	1216	1854	1257	1129	853	1277	1441	758	871	1120	1360
ENSG00000121903	13	11	33	19	28	10	27	31	26	36	37	50
ENSG00000121904	366	382	209	165	110	56	398	226	88	76	72	84
ENSG00000163866	235	225	334	224	257	157	291	242	188	184	278	252
ENSG00000241014	40	27	47	44	10	11	48	50	25	45	34	42
ENSG00000163867	98	100	183	118	98	56	183	153	119	118	164	158
ENSG00000197056	79	88	130	71	102	70	189	124	143	121	169	116
ENSG00000116560	2582	3726	3081	2350	1403	1353	4491	4664	1677	1703	2762	2535
ENSG00000146463	798	742	922	713	568	401	1042	1048	652	727	856	928
ENSG00000227409	16	9	27	21	15	10	44	23	14	20	13	30
ENSG00000142687	438	488	559	442	368	266	583	583	400	381	493	514
ENSG00000020129	406	354	578	395	389	257	552	442	429	435	745	632
ENSG00000126067	992	772	1244	916	911	503	947	900	703	737	1044	1043
ENSG00000142686	239	246	374	286	242	207	438	436	241	243	334	291
ENSG00000092853	75	37	66	24	13	9	87	26	61	4	77	4
ENSG00000134698	442	402	371	276	275	181	413	370	180	197	250	263
ENSG00000092847	416	338	442	376	368	218	561	479	377	300	504	469
ENSG00000126070	308	328	387	335	237	142	466	401	271	251	371	376
ENSG00000116863	226	174	427	310	324	189	318	300	229	242	369	318
ENSG00000171812	560	522	1228	1050	219	266	977	823	905	628	1407	1003
